Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,10uF,C_0603_1608Metric,113.42885,-28.19835,90,bottom
C2,1uF,C_0402_1005Metric,98.42885,-26.71835,-90,bottom
C3,100nF,C_0402_1005Metric,103.99825,-26.60715,-90,bottom
C4,100nF,C_0402_1005Metric,99.94025,-26.67695,-90,bottom
C5,100nF,C_0402_1005Metric,101.22395,-26.69765,-90,bottom
C6,100nF,C_0402_1005Metric,102.61115,-26.61485,-90,bottom
ESD1,PRTR5V0U2X,SOT-143,94.61245,-34.27505,180,bottom
F1,500mA,Fuse_0805_2012Metric,108.42885,-26.19835,90,bottom
J1,USB_C_Receptacle_USB2.0,HRO-TYPE-C-31-M-12-Assembly,103.90005,22.95525,0,bottom
R1,5.1k,R_0603_1608Metric,97.42885,-21.19835,180,bottom
R2,5.1k,R_0603_1608Metric,113.42885,-23.19835,0,bottom
R3,5.1k,R_0402_1005Metric,108.51875,-33.51515,0,bottom
R4,5.1k,R_0402_1005Metric,105.58365,-33.53165,0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,105.51875,-45.23125,180,bottom
U2,TLV73333PDBV,SOT-23-5,94.51875,-42.19835,180,bottom
